0000,0
0001,1
0003,2
0005,3
0007,4
0009,5
0011,6
0013,7
0015,8
0017,9
0045,A
0386,abeam
0388,Abington
0387,Able
0389,able
0390,abnormal
0391,abort
0392,about
0393,above
0394,accelerate
0395,accelerated
0396,access
0397,acknowledge
0398,action
0201,activated
0202,activating
0203,active
0399,activity
0400,Adam
0401,address
0402,adjust
0403,advise
0404,advisory
0405,aerial
0406,affirmative
0407,aft
0106,afternoon
0408,again
0409,ahead
0410,air
0411,aircraft
0412,airforce
0413,airport
0414,airspeed
0415,Alabama
0204,alarm
0416,alarmed
0417,Alaska
0418,Albany
0419,Alberta
0420,Albuquerque
0205,alert
0206,all
0421,Allenton
0422,Allentown
0423,aloft
0424,alpha
0425,alternate
0426,altimeter
0427,altitude
0428,always
0116,AM
0207,amateur
0208,amateurs
0429,amber
0430,ambulance
0431,America
0432,American
0433,Amp
0209,amplifier
0138,Amps
0210,an
0211,analog
0434,Anchorage
0212,and
0435,Angeles
0436,anger
0437,angle
0438,Annapolis
0439,announcement
0440,answer
0213,antenna
0441,Appalachian
0442,apple
0443,Appleton
0444,approach
0445,approaches
0074,April
0446,APU
0214,are
0447,area
0216,Ares
0448,Arizona
0449,Arkansas
0450,armed
0451,army
0452,arrival
0215,as
0217,ask
0453,Aspen
0454,assign
0455,assistance
0218,association
0456,astro
0219,at
0457,Atlanta
0458,Atlantic
0459,attempt
0460,attention
0461,ATV
0220,audio
0078,August
0462,Augusta
0463,aural
0464,Austin
0465,authorized
0221,auto
0466,automatic
0222,autopatch
0467,autopilot
0468,auxiliary
0469,available
0470,ave
0471,avenue
0472,average
0046,B
0473,back
0474,backbone
0475,backhaul
0476,backup
0477,bad
0478,Baker
0479,Baltimore
0223,band
0480,Bangor
0481,bank
0482,Barbara
0483,barometric
0484,bars
0224,base
0485,bath
0486,Baton Rouge
0225,battery
0487,baud
0488,Bavarian
0489,bay
0490,beacon
0491,beam
0492,bearing
0493,beautiful
0494,Beaverton
0226,beer
0495,bell
0496,below
0497,Bernadino
0498,between
0499,big
0500,Billings
0501,Birmingham
0502,Bismarck
0503,black
0504,Bloomsburg
0505,blowing
0506,blue
0507,bluff
0508,Boeing
0509,Boise
0510,bolt
0511,boost
0512,booster
0513,Boston
0514,bound
0515,box
0516,Bozo
0517,Bradford
0518,brake
0519,braking
0520,branch
0521,Bravo
0522,break
0523,breaker
0227,brew
0524,bridge
0525,Bridgeport
0526,Bristol
0527,British
0528,broadcast
0529,broaden
0530,Broadway
0531,broken
0532,Bronx
0533,Brookfield
0534,brown
0535,Brynmawr
0536,bucks
0537,Buffalo
0538,building
0539,Burlington
0228,busy
0540,button
0541,by
0139,byte
0047,C
0542,cabin
0543,calibrate
0544,calibration
0545,California
0229,call
0230,calling
0546,callsign
0547,calm
0548,Cambridge
0549,camelback
0550,Canada
0551,Canadian
0231,cancel
0552,capacitance
0553,capacitor
0554,Cape May
0555,car
0556,Carbondale
0557,cargo
0558,Carlos
0559,carmel
0560,Carolina
0561,carriage
0562,carrier
0563,Carson City
0564,case
0565,cast
0566,cat
0567,cathode
0568,caution
0569,Cedar Rapids
0570,Cedarburg
0571,ceiling
0140,Celsius
0572,center
0573,centi
0574,Centigrade
0575,central
0576,cerro
0577,Chambersburg
0232,change
0578,changeover
0579,channel
0580,charge
0581,Charleston
0582,Charlie
0583,Charlotte
0233,check
0584,Chester
0585,Cheyenne
0586,Chicago
0587,Chippewa Falls
0588,choice
0589,circuit
0591,circus
0592,cities
0593,city
0594,class
0595,Claude
0596,clear
0597,clearance
0598,climb
0599,clinch
0234,clock
0600,close
0601,close2
0235,closed
0602,closure
0603,clown
0236,club
0604,coast
0605,coax
0237,code
0606,coil
0607,cold
0608,college
0153,Colorado
0609,Columbia
0610,Columbus
0238,com
0611,combiner
0612,come
0613,command
0614,common
0615,communication
0616,communications
0618,compact
0617,compact flash
0239,complete
0619,complex
0620,compressor
0621,computer
0622,Concord
0623,Concorde
0624,condition
0625,configuration
0626,conflicts
0154,conifer
0627,connect
0628,Connecticut
0629,connector
0630,constant
0631,consumption
0240,contact
0632,contactor
0241,control
0242,controller
0633,converging
0634,converter
0635,cool
0636,cooling
0637,copper
0638,correct
0639,county
0640,course
0641,coverage
0642,cowl
0643,craft
0644,crane
0645,crescent
0646,cross
0647,crosswind
0649,crystal
0648,Crystal Lake
0243,CTCSS
0650,culvert
0141,current
0651,CW
0652,cycle
0653,cylinder
0048,D
0654,damage
0656,danger
0655,danger whoop
0657,dark
0658,data
0090,date
0659,davenport
0096,day
0097,days
0660,Dayton
0082,December
0135,decimal
0244,decrease
0245,decreasing
0661,default
0662,deflector
0142,degree
0143,degrees
0663,dehydrator
0664,deice
0665,Delaware
0666,delay
0667,delete
0668,Delray
0669,delta
0670,deluxe
0155,Denver
0671,department
0672,departure
0673,depleted
0674,depth
0675,Des Moines
0676,desert
0677,detect
0678,detected
0679,detector
0680,Detroit
0681,deviation
0682,device
0683,dial
0684,dialed
0246,dialing
0685,did
0686,Diego
0687,diesel
0688,digital
0689,dinner
0690,dip
0691,direct
0692,direction
0693,directory
0247,disable
0248,disabled
0694,disarm
0695,discharge
0696,disconnect
0697,dish
0698,dismal
0699,dispatcher
0700,display
0701,divide
0702,divided
0703,do
0704,dog
0705,Doh
0249,door
0250,doors
0136,dot
0706,double
0707,Dover
0251,down
0708,downlink
0709,downwind
0710,drive
0711,driver
0712,drizzle
0252,DTMF
0713,Dubois
0714,Dubuque
0253,duhhhh
0715,Duluth
0716,dump
0717,duplexer
0718,dust
0719,DVR
0720,dynamic
0049,E
0721,Eagles Peak
0722,Earth
0723,East
0724,easy
0725,Eau Claire
0726,echo
0727,Eckley
0728,Edison
0729,Edmonton
0730,efficiency
0731,Egg Harbor
0732,EHF
0015,eight
0031,eighteen
0016,eighth
0040,eighty
0733,electric
0734,electrician
0735,electricity
0736,elevation
0022,eleven
0737,Elizabeth
0257,email
0738,emergency
0739,empty
0740,EMS
0254,enable
0255,enabled
0741,end
0742,endless
0743,energy
0744,engage
0745,engine
0746,engineering
0256,enter
0258,equal
0747,equipment
0259,erase
0260,erased
0748,Erie
0261,error
0749,escape
0750,estimated
0751,ETA
0752,evacuate
0753,evacuation
0107,evening
0754,event
0755,every
0756,evil
0757,exciter
0758,exclusion
0759,exist
0760,existing
0262,exit
0761,expect
0762,exterior
0763,external
0764,extreme
0050,F
0765,fade
0766,fail
0767,failed
0263,failure
0768,Fairport
0769,false
0770,fan
0771,Fancy Hill
0772,Farad
0144,Farenheit
0773,Fargo
0774,farm
0775,fast
0776,faster
0777,fat
0778,fault
0072,February
0779,federal
0780,feedline
0121,feet
0781,female
0782,femto
0783,Fernando
0784,fest
0785,festival
